,code,2014,2015,2016,2017
207,SOM,,,,
208,SRB,14659.54058,14922.13735,15615.23211,16433.44975
209,SSA,3755.603884,3811.929676,3810.984025,3889.143024
210,SSD,1920.627626,,,
211,SSF,3757.662207,3814.062822,3813.193649,3891.441058
212,SST,22100.14036,22510.68134,22770.47268,23258.75826
213,STP,2997.322455,3086.025098,3189.251813,3312.727969
214,SUR,16018.08688,15472.9779,14622.05054,15002.41986
215,SVK,28991.56583,29924.12155,30824.59619,32243.84951
216,SVN,30870.02367,31636.75003,33191.67387,36142.79094
217,SWE,47045.64635,48975.00451,49423.21647,51878.6944
218,SWZ,9565.531582,9810.545675,9953.995477,10249.51169
219,SXM,35547.70212,35050.42282,34568.38463,31776.40604
220,SYC,25594.10396,26546.40585,27672.51882,29062.26285
221,SYR,,,,
222,TCA,20862.89067,21958.80232,22809.20614,23873.42061
223,TCD,2179.247741,2191.741795,2012.817316,1929.472752
224,TEA,12276.7457,13111.33015,13987.95821,15058.09493
225,TEC,20023.7849,19924.45735,20316.68722,21703.27469
226,TGO,1504.32208,1566.994218,1630.600506,1691.534408
227,THA,15694.33668,16293.6098,16961.26557,17917.20689
228,TJK,2726.507194,2851.709486,3006.511141,3216.580702
229,TKM,15144.54545,16011.55121,16895.47613,18032.22196
230,TLA,15573.69078,15577.57319,15587.6428,16072.41806
231,TLS,6833.300502,8177.850186,8168.746991,7416.223344
232,TMN,12520.35739,12570.80949,13444.77858,13857.24918
233,TON,5567.035411,5849.717335,6092.258366,6321.606933
234,TSA,5288.857306,5671.434013,6097.572772,6562.46707
235,TSS,3757.662207,3814.062822,3813.193649,3891.441058
236,TTO,32937.07201,33698.66655,31754.46967,31461.26406
237,TUN,11460.34826,11598.86038,11743.4899,12047.05114
238,TUR,23967.11803,25625.57463,26150.3998,27915.52365
239,TUV,3319.10486,3619.410338,3727.711339,3903.655005
240,TZA,2680.385594,2791.023424,2926.328043,3090.494371
241,UGA,1820.129666,1868.547153,1908.300268,1945.358604
242,UKR,8710.749383,7972.435611,8289.707288,8693.693649
243,UMC,15558.41838,16098.98468,16850.03067,17910.42392
244,URY,21069.23438,21300.97607,21820.25901,22728.13475
245,USA,55032.958,56803.47243,57904.20196,59927.92983
246,UZB,6866.481774,7327.832069,7723.937506,8084.651372
247,VCT,10948.04925,11182.83559,11486.90066,11782.722
248,VEN,18102.46829,,,
249,VGB,,,,
250,VIR,,,,
251,VNM,5613.627304,5989.75769,6365.289485,6857.984044
252,VUT,2997.943089,2954.966829,3011.853589,3123.565004
253,WLD,15342.94675,15815.028,16358.48564,17151.60105
254,WSM,5570.620519,5831.525656,6336.645501,6495.387727
255,XKX,9194.741819,9781.019679,10208.8579,10756.66346
256,YEM,4045.500031,3320.110156,2827.691023,2645.308383
257,ZAF,13090.47683,13185.25328,13188.02962,13438.28289
258,ZMB,3893.549478,3927.761816,3998.004435,4090.12004
259,ZWE,2648.568967,2679.580317,2687.385429,2825.725122
